event,player,group,threshold,BetMGM,BetRivers,Bovada,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,best_book,best_odds,best_decimal,avg_other,value_ratio
Toronto Raptors @ Cleveland Cavaliers,Brandon Ingram,Assists,7,750.0,,475.0,524.0,,,400.0,525.0,BetMGM,750.0,8.5,5.8100000000000005,1.4629948364888123
Atlanta Hawks @ Utah Jazz,Walter Clayton Jr.,Assists,6,,,,585.0,,,,900.0,HardRockBet,900.0,10.0,6.85,1.4598540145985401
Atlanta Hawks @ Utah Jazz,Lauri Markkanen,Assists,4,,,,363.0,,,,575.0,HardRockBet,575.0,6.75,4.63,1.4578833693304536
Toronto Raptors @ Cleveland Cavaliers,Jakob Poeltl,Assists,5,,,,1320.0,,,750.0,1000.0,DraftKings,1320.0,14.2,9.75,1.4564102564102563
Atlanta Hawks @ Utah Jazz,Brice Sensabaugh,Rebounds,6,,,,556.0,,,,850.0,HardRockBet,850.0,9.5,6.56,1.4481707317073171
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Assists,6,,,,1300.0,,,850.0,1600.0,HardRockBet,1600.0,17.0,11.75,1.446808510638298
Atlanta Hawks @ Utah Jazz,Keyonte George,Points,40,,,2500.0,,,4000.0,,3000.0,FanDuel,4000.0,41.0,28.5,1.4385964912280702
Atlanta Hawks @ Utah Jazz,Kyle Filipowski,Assists,4,,,,407.0,,,300.0,550.0,HardRockBet,550.0,6.5,4.535,1.4332965821389194
Atlanta Hawks @ Utah Jazz,Brice Sensabaugh,Rebounds,5,,,,284.0,,,,450.0,HardRockBet,450.0,5.5,3.84,1.4322916666666667
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Points,30,,,1400.0,2500.0,,1500.0,,2250.0,DraftKings,2500.0,26.0,18.166666666666668,1.4311926605504586
Toronto Raptors @ Cleveland Cavaliers,Brandon Ingram,Points,35,,,1100.0,1620.0,,1400.0,,2000.0,HardRockBet,2000.0,21.0,14.733333333333334,1.425339366515837
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Rebounds,8,,,,,,1500.0,900.0,1750.0,HardRockBet,1750.0,18.5,13.0,1.4230769230769231
Indiana Pacers @ Phoenix Suns,Jarace Walker,Points,25,,,2500.0,3600.0,2500.0,,,,DraftKings,3600.0,37.0,26.0,1.4230769230769231
Toronto Raptors @ Cleveland Cavaliers,R.J. Barrett,Points,40,,,2800.0,,,4000.0,,,FanDuel,4000.0,41.0,29.0,1.4137931034482758
Toronto Raptors @ Cleveland Cavaliers,Scottie Barnes,Points,35,,,1900.0,2400.0,,2000.0,,3000.0,HardRockBet,3000.0,31.0,22.0,1.4090909090909092
Atlanta Hawks @ Utah Jazz,Keyonte George,Points,35,,,1200.0,2200.0,,1400.0,,2000.0,DraftKings,2200.0,23.0,16.333333333333332,1.4081632653061225
Atlanta Hawks @ Utah Jazz,Onyeka Okongwu,Assists,6,,,,1040.0,,,750.0,1300.0,HardRockBet,1300.0,14.0,9.95,1.407035175879397
Atlanta Hawks @ Utah Jazz,Jusuf Nurkic,Points,20,1000.0,,725.0,1300.0,,1000.0,800.0,1000.0,DraftKings,1300.0,14.0,10.05,1.3930348258706466
Atlanta Hawks @ Utah Jazz,Onyeka Okongwu,Rebounds,14,,,,630.0,,,425.0,,DraftKings,630.0,7.3,5.25,1.3904761904761904
Atlanta Hawks @ Utah Jazz,Kyle Filipowski,Points,20,,,1000.0,1620.0,,1300.0,750.0,1500.0,DraftKings,1620.0,17.2,12.375,1.3898989898989897
Toronto Raptors @ Cleveland Cavaliers,Sandro Mamukelashvili,Double-Double,Yes,,,2200.0,3300.0,,2500.0,,,DraftKings,3300.0,34.0,24.5,1.3877551020408163
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Assists,5,,,,1120.0,,,850.0,1400.0,HardRockBet,1400.0,15.0,10.85,1.3824884792626728
Toronto Raptors @ Cleveland Cavaliers,R.J. Barrett,Points,35,,,1400.0,1900.0,,1500.0,,2250.0,HardRockBet,2250.0,23.5,17.0,1.3823529411764706
Atlanta Hawks @ Utah Jazz,Lauri Markkanen,Assists,3,,,,140.0,,,,230.0,HardRockBet,230.0,3.3,2.4,1.375
