event,player,group,threshold,BetMGM,BetRivers,Bovada,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,best_book,best_odds,best_decimal,avg_other,value_ratio
Atlanta Hawks @ Utah Jazz,Kyle Filipowski,Rebounds,8,,175.0,,177.0,,210.0,160.0,175.0,FanDuel,210.0,3.1,2.7175,1.1407543698252072
Toronto Raptors @ Cleveland Cavaliers,R.J. Barrett,Threes,5,,,900.0,1040.0,,1000.0,,800.0,DraftKings,1040.0,11.4,10.0,1.1400000000000001
Toronto Raptors @ Cleveland Cavaliers,Evan Mobley,Threes,3,350.0,,320.0,326.0,,360.0,,400.0,HardRockBet,400.0,5.0,4.39,1.1389521640091116
Atlanta Hawks @ Utah Jazz,Lauri Markkanen,Double-Double,Yes,,,500.0,564.0,,500.0,,450.0,DraftKings,564.0,6.64,5.833333333333333,1.1382857142857143
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Threes,5,,,900.0,1000.0,,950.0,,750.0,DraftKings,1000.0,11.0,9.666666666666666,1.1379310344827587
Atlanta Hawks @ Utah Jazz,Walter Clayton Jr.,Assists,3,,,,-132.0,,,,100.0,HardRockBet,100.0,2.0,1.7575757575757576,1.1379310344827587
Indiana Pacers @ Phoenix Suns,Oso Ighodaro,Rebounds,8,,,,1340.0,1200.0,1300.0,,1000.0,DraftKings,1340.0,14.4,12.666666666666666,1.1368421052631579
Indiana Pacers @ Phoenix Suns,Devin Booker,Steals,2,,245.0,,292.0,,,,,DraftKings,292.0,3.92,3.45,1.136231884057971
Toronto Raptors @ Cleveland Cavaliers,Jakob Poeltl,Rebounds,12,,,,343.0,,300.0,270.0,300.0,DraftKings,343.0,4.43,3.9,1.1358974358974359
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Assists,3,,,,101.0,,,-105.0,125.0,HardRockBet,125.0,2.25,1.9811904761904762,1.135680807595241
Toronto Raptors @ Cleveland Cavaliers,Scottie Barnes,Threes,5,,,1900.0,1880.0,,2200.0,,2000.0,FanDuel,2200.0,23.0,20.266666666666666,1.1348684210526316
Atlanta Hawks @ Utah Jazz,Nickeil Alexander-Walker,Points,30,,,1000.0,1260.0,,1100.0,,1200.0,DraftKings,1260.0,13.6,12.0,1.1333333333333333
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Points,20,200.0,150.0,160.0,168.0,175.0,180.0,155.0,165.0,BetMGM,200.0,3.0,2.647142857142857,1.1332973556395036
Toronto Raptors @ Cleveland Cavaliers,Jaylon Tyson,Points,15,,210.0,310.0,336.0,,320.0,300.0,,DraftKings,336.0,4.359999999999999,3.8499999999999996,1.1324675324675324
Indiana Pacers @ Phoenix Suns,Grayson Allen,Rebounds,5,165.0,,215.0,224.0,,,190.0,175.0,DraftKings,224.0,3.24,2.8625,1.131877729257642
Atlanta Hawks @ Utah Jazz,Keyonte George,Rebounds,5,155.0,,140.0,193.0,,,155.0,195.0,HardRockBet,195.0,2.95,2.6075,1.1313518696069034
Toronto Raptors @ Cleveland Cavaliers,R.J. Barrett,Assists,7,600.0,,525.0,500.0,,,550.0,500.0,BetMGM,600.0,7.0,6.1875,1.1313131313131313
Atlanta Hawks @ Utah Jazz,Jalen Johnson,Rebounds,12,,,,364.0,,,320.0,400.0,HardRockBet,400.0,5.0,4.42,1.1312217194570136
Atlanta Hawks @ Utah Jazz,Onyeka Okongwu,Assists,3,,,,-130.0,,,-130.0,100.0,HardRockBet,100.0,2.0,1.7692307692307692,1.1304347826086958
Atlanta Hawks @ Utah Jazz,Onyeka Okongwu,Double-Double,Yes,,,,111.0,,,105.0,135.0,HardRockBet,135.0,2.35,2.08,1.1298076923076923
Atlanta Hawks @ Utah Jazz,Ace Bailey,Points,20,600.0,,475.0,640.0,,600.0,500.0,600.0,DraftKings,640.0,7.4,6.55,1.1297709923664123
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Rebounds,5,200.0,,200.0,178.0,,,155.0,220.0,HardRockBet,220.0,3.2,2.8325000000000005,1.1297440423654015
Toronto Raptors @ Cleveland Cavaliers,Evan Mobley,Assists,5,115.0,,140.0,161.0,,,140.0,170.0,HardRockBet,170.0,2.7,2.39,1.1297071129707112
Indiana Pacers @ Phoenix Suns,Devin Booker,Points,40,550.0,,550.0,543.0,650.0,680.0,600.0,650.0,FanDuel,680.0,7.8,6.905,1.1296162201303404
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Rebounds,7,375.0,,385.0,446.0,,,375.0,400.0,DraftKings,446.0,5.46,4.8375,1.1286821705426355
Toronto Raptors @ Cleveland Cavaliers,Darius Garland,Threes,6,,,1200.0,1480.0,,1400.0,,,DraftKings,1480.0,15.8,14.0,1.1285714285714286
Atlanta Hawks @ Utah Jazz,Lauri Markkanen,Points,35,450.0,,340.0,490.0,,450.0,400.0,475.0,DraftKings,490.0,5.9,5.2299999999999995,1.1281070745697899
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Rebounds,8,,,,830.0,,870.0,700.0,750.0,FanDuel,870.0,9.7,8.6,1.127906976744186
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Rebounds,8,,,,403.0,,440.0,320.0,450.0,HardRockBet,450.0,5.5,4.876666666666666,1.1278195488721805
Indiana Pacers @ Phoenix Suns,Andrew Nembhard,Rebounds,3,-175.0,,-150.0,-141.0,,,-145.0,-115.0,HardRockBet,-115.0,1.8695652173913042,1.659242567166265,1.1267582295602736
Toronto Raptors @ Cleveland Cavaliers,Jarrett Allen,Blocks,1,,-167.0,,-253.0,,-225.0,,,BetRivers,-167.0,1.5988023952095807,1.4198506807202458,1.1260355873468035
Toronto Raptors @ Cleveland Cavaliers,Sam Merrill,Assists,5,,,,660.0,,,550.0,600.0,DraftKings,660.0,7.6,6.75,1.1259259259259258
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Points,20,195.0,180.0,215.0,249.0,,230.0,210.0,230.0,DraftKings,249.0,3.49,3.0999999999999996,1.1258064516129034
Indiana Pacers @ Phoenix Suns,Andrew Nembhard,Assists,8,,104.0,,103.0,115.0,112.0,110.0,135.0,HardRockBet,135.0,2.35,2.088,1.1254789272030652
Atlanta Hawks @ Utah Jazz,Lauri Markkanen,Threes,4,170.0,133.0,135.0,140.0,,152.0,,,BetMGM,170.0,2.7,2.4,1.1250000000000002
Atlanta Hawks @ Utah Jazz,Jalen Johnson,Points,30,550.0,,,600.0,,,650.0,550.0,Fanatics,650.0,7.5,6.666666666666667,1.125
Toronto Raptors @ Cleveland Cavaliers,R.J. Barrett,Double-Double,Yes,1000.0,,1000.0,1160.0,,1000.0,1100.0,1000.0,DraftKings,1160.0,12.6,11.2,1.125
Toronto Raptors @ Cleveland Cavaliers,Collin Murray-Boyles,Rebounds,10,,,1700.0,,,1500.0,,,Bovada,1700.0,18.0,16.0,1.125
Toronto Raptors @ Cleveland Cavaliers,Donovan Mitchell,Double-Double,Yes,775.0,,650.0,800.0,,700.0,850.0,800.0,Fanatics,850.0,9.5,8.45,1.124260355029586
Indiana Pacers @ Phoenix Suns,Grayson Allen,Steals,3,,270.0,,353.0,320.0,320.0,,,DraftKings,353.0,4.529999999999999,4.033333333333334,1.1231404958677682
Toronto Raptors @ Cleveland Cavaliers,Donovan Mitchell,Assists,10,,,1000.0,1060.0,,900.0,900.0,,DraftKings,1060.0,11.6,10.333333333333334,1.1225806451612903
Toronto Raptors @ Cleveland Cavaliers,Sandro Mamukelashvili,Threes,2,175.0,,140.0,,,150.0,,,BetMGM,175.0,2.75,2.45,1.1224489795918366
Atlanta Hawks @ Utah Jazz,Dyson Daniels,Assists,10,380.0,290.0,340.0,379.0,,310.0,320.0,,BetMGM,380.0,4.8,4.278,1.1220196353436185
Atlanta Hawks @ Utah Jazz,Onyeka Okongwu,Threes,3,,,,435.0,,,,500.0,HardRockBet,500.0,6.0,5.35,1.1214953271028039
Indiana Pacers @ Phoenix Suns,Grayson Allen,Rebounds,6,,,,483.0,450.0,480.0,350.0,400.0,DraftKings,483.0,5.83,5.2,1.1211538461538462
Atlanta Hawks @ Utah Jazz,Ace Bailey,Threes,2,,,,123.0,,,,150.0,HardRockBet,150.0,2.5,2.23,1.1210762331838564
Toronto Raptors @ Cleveland Cavaliers,Sam Merrill,Points,15,,190.0,250.0,248.0,,255.0,230.0,275.0,HardRockBet,275.0,3.75,3.346,1.1207411835026897
Atlanta Hawks @ Utah Jazz,Dyson Daniels,Double-Double,Yes,,,270.0,287.0,,270.0,290.0,325.0,HardRockBet,325.0,4.25,3.7925,1.1206328279499012
Indiana Pacers @ Phoenix Suns,Aaron Nesmith,Assists,3,,,,324.0,,,,375.0,HardRockBet,375.0,4.75,4.24,1.1202830188679245
Toronto Raptors @ Cleveland Cavaliers,Scottie Barnes,Steals,3,,,,415.0,,360.0,,,DraftKings,415.0,5.15,4.6,1.1195652173913044
Indiana Pacers @ Phoenix Suns,Royce O'Neale,Assists,7,,,1100.0,1380.0,,,,1400.0,HardRockBet,1400.0,15.0,13.4,1.1194029850746268
Toronto Raptors @ Cleveland Cavaliers,Evan Mobley,Threes,4,1000.0,,850.0,800.0,,1000.0,,,BetMGM,1000.0,11.0,9.833333333333334,1.11864406779661
Toronto Raptors @ Cleveland Cavaliers,Collin Murray-Boyles,Rebounds,7,400.0,,360.0,381.0,,,300.0,,BetMGM,400.0,5.0,4.47,1.1185682326621924
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Rebounds,4,,140.0,,180.0,,180.0,155.0,195.0,HardRockBet,195.0,2.95,2.6374999999999997,1.118483412322275
Atlanta Hawks @ Utah Jazz,Onyeka Okongwu,Rebounds,8,,,,-301.0,,,-325.0,-210.0,HardRockBet,-210.0,1.4761904761904763,1.319959110656785,1.1183607615359794
Toronto Raptors @ Cleveland Cavaliers,Brandon Ingram,Points,25,210.0,185.0,195.0,234.0,,230.0,225.0,250.0,HardRockBet,250.0,3.5,3.1316666666666664,1.1176157530601385
Indiana Pacers @ Phoenix Suns,Devin Booker,Rebounds,6,,200.0,,251.0,250.0,260.0,210.0,200.0,FanDuel,260.0,3.6,3.222,1.1173184357541899
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Assists,8,,220.0,,295.0,,265.0,270.0,260.0,DraftKings,295.0,3.95,3.5375,1.11660777385159
Toronto Raptors @ Cleveland Cavaliers,Donovan Mitchell,Assists,7,210.0,,185.0,171.0,,,170.0,185.0,BetMGM,210.0,3.1,2.7775000000000003,1.116111611161116
Atlanta Hawks @ Utah Jazz,Isaiah Collier,Points,15,550.0,,430.0,509.0,,560.0,475.0,575.0,HardRockBet,575.0,6.75,6.048,1.1160714285714286
Indiana Pacers @ Phoenix Suns,Ryan Dunn,Points,15,,,725.0,850.0,800.0,830.0,650.0,,DraftKings,850.0,9.5,8.5125,1.1160058737151248
Indiana Pacers @ Phoenix Suns,Grayson Allen,Steals,4,,,,1060.0,1000.0,880.0,,,DraftKings,1060.0,11.6,10.4,1.1153846153846154
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Steals,3,,,,412.0,,470.0,,,FanDuel,470.0,5.7,5.12,1.11328125
Indiana Pacers @ Phoenix Suns,Oso Ighodaro,Rebounds,7,750.0,,750.0,730.0,,,600.0,575.0,BetMGM,750.0,8.5,7.6375,1.1129296235679214
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Double-Double,Yes,775.0,,700.0,840.0,,700.0,800.0,750.0,DraftKings,840.0,9.4,8.45,1.1124260355029587
Toronto Raptors @ Cleveland Cavaliers,Donovan Mitchell,Rebounds,7,390.0,,330.0,382.0,,,300.0,350.0,BetMGM,390.0,4.9,4.405,1.112372304199773
Toronto Raptors @ Cleveland Cavaliers,Brandon Ingram,Points,30,600.0,,475.0,600.0,,600.0,600.0,650.0,HardRockBet,650.0,7.5,6.75,1.1111111111111112
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Rebounds,10,,,1900.0,,,1700.0,,,Bovada,1900.0,20.0,18.0,1.1111111111111112
Toronto Raptors @ Cleveland Cavaliers,Evan Mobley,Assists,8,,,,1400.0,,1200.0,,1300.0,DraftKings,1400.0,15.0,13.5,1.1111111111111112
Atlanta Hawks @ Utah Jazz,Keyonte George,Threes,3,150.0,135.0,145.0,143.0,,164.0,,115.0,FanDuel,164.0,2.6399999999999997,2.3760000000000003,1.1111111111111107
Toronto Raptors @ Cleveland Cavaliers,Evan Mobley,Points,30,775.0,,550.0,740.0,,700.0,750.0,700.0,BetMGM,775.0,8.75,7.88,1.1104060913705585
Toronto Raptors @ Cleveland Cavaliers,R.J. Barrett,Rebounds,8,,,,464.0,,450.0,375.0,400.0,DraftKings,464.0,5.64,5.083333333333333,1.1095081967213114
Indiana Pacers @ Phoenix Suns,Ben Sheppard,Rebounds,6,,,,510.0,550.0,560.0,425.0,,FanDuel,560.0,6.6,5.95,1.1092436974789914
Indiana Pacers @ Phoenix Suns,Grayson Allen,Threes,6,350.0,295.0,375.0,375.0,360.0,400.0,,,FanDuel,400.0,5.0,4.51,1.1086474501108647
Atlanta Hawks @ Utah Jazz,Lauri Markkanen,Points,30,170.0,143.0,145.0,193.0,,180.0,160.0,190.0,DraftKings,193.0,2.9299999999999997,2.6466666666666665,1.1070528967254407
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Assists,3,,,,165.0,,,150.0,185.0,HardRockBet,185.0,2.85,2.575,1.1067961165048543
Toronto Raptors @ Cleveland Cavaliers,Sam Merrill,Assists,6,,,,1560.0,,,,1400.0,DraftKings,1560.0,16.6,15.0,1.1066666666666667
Atlanta Hawks @ Utah Jazz,Onyeka Okongwu,Threes,2,,,,135.0,,,,160.0,HardRockBet,160.0,2.6,2.35,1.1063829787234043
Toronto Raptors @ Cleveland Cavaliers,Donovan Mitchell,Threes,5,165.0,150.0,145.0,148.0,,175.0,,135.0,FanDuel,175.0,2.75,2.4859999999999998,1.106194690265487
Toronto Raptors @ Cleveland Cavaliers,Darius Garland,Points,20,240.0,195.0,205.0,217.0,,230.0,190.0,,BetMGM,240.0,3.4,3.074,1.1060507482108002
Toronto Raptors @ Cleveland Cavaliers,Jakob Poeltl,Assists,3,,,,193.0,,,150.0,180.0,DraftKings,193.0,2.9299999999999997,2.65,1.1056603773584905
Indiana Pacers @ Phoenix Suns,Jarace Walker,Threes,4,1000.0,,850.0,930.0,900.0,900.0,,,BetMGM,1000.0,11.0,9.95,1.105527638190955
Indiana Pacers @ Phoenix Suns,Royce O'Neale,Assists,8,,,,,1600.0,2000.0,,2000.0,FanDuel,2000.0,21.0,19.0,1.105263157894737
Atlanta Hawks @ Utah Jazz,Nickeil Alexander-Walker,Rebounds,3,-210.0,,-220.0,-219.0,,,-275.0,-170.0,HardRockBet,-170.0,1.5882352941176472,1.4377483247346263,1.104668506159308
Toronto Raptors @ Cleveland Cavaliers,Jarrett Allen,Rebounds,12,,,,384.0,,350.0,290.0,375.0,DraftKings,384.0,4.84,4.383333333333334,1.1041825095057032
Toronto Raptors @ Cleveland Cavaliers,Scottie Barnes,Assists,10,,,1200.0,1280.0,,1100.0,,,DraftKings,1280.0,13.8,12.5,1.104
Toronto Raptors @ Cleveland Cavaliers,Collin Murray-Boyles,Rebounds,6,,160.0,,198.0,,210.0,185.0,,FanDuel,210.0,3.1,2.81,1.103202846975089
Indiana Pacers @ Phoenix Suns,Devin Booker,Points,35,220.0,245.0,245.0,238.0,275.0,285.0,260.0,260.0,FanDuel,285.0,3.85,3.4900000000000007,1.1031518624641832
Indiana Pacers @ Phoenix Suns,Jarace Walker,Threes,3,360.0,,320.0,308.0,300.0,340.0,,,BetMGM,360.0,4.6,4.17,1.1031175059952039
Indiana Pacers @ Phoenix Suns,Pascal Siakam,Threes,2,-125.0,-113.0,-120.0,107.0,-105.0,-113.0,,110.0,HardRockBet,110.0,2.1,1.9042709650231775,1.1027842353172885
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Threes,3,-115.0,115.0,105.0,126.0,,118.0,,100.0,DraftKings,126.0,2.26,2.0499130434782606,1.102485789429032
Atlanta Hawks @ Utah Jazz,Dyson Daniels,Rebounds,8,,205.0,,238.0,,255.0,225.0,220.0,FanDuel,255.0,3.55,3.2199999999999998,1.1024844720496896
Indiana Pacers @ Phoenix Suns,Royce O'Neale,Threes,6,,,750.0,790.0,800.0,870.0,,,FanDuel,870.0,9.7,8.799999999999999,1.1022727272727273
Indiana Pacers @ Phoenix Suns,Devin Booker,Threes,5,,,1000.0,1140.0,1000.0,1000.0,,1100.0,DraftKings,1140.0,12.4,11.25,1.1022222222222222
Atlanta Hawks @ Utah Jazz,Nickeil Alexander-Walker,Threes,3,-115.0,130.0,130.0,137.0,,140.0,,105.0,FanDuel,140.0,2.4,2.1779130434782608,1.1019723708376588
Toronto Raptors @ Cleveland Cavaliers,Scottie Barnes,Blocks,3,,,,381.0,,430.0,,,FanDuel,430.0,5.3,4.8100000000000005,1.1018711018711018
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Threes,3,150.0,163.0,165.0,184.0,,200.0,,200.0,FanDuel,200.0,3.0,2.7239999999999998,1.1013215859030838
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Rebounds,6,,210.0,,232.0,,250.0,210.0,220.0,FanDuel,250.0,3.5,3.1799999999999997,1.1006289308176103
Indiana Pacers @ Phoenix Suns,Aaron Nesmith,Threes,5,310.0,275.0,320.0,334.0,320.0,360.0,,350.0,FanDuel,360.0,4.6,4.181666666666667,1.1000398565165403
Toronto Raptors @ Cleveland Cavaliers,Evan Mobley,Blocks,4,,,,890.0,,800.0,,,DraftKings,890.0,9.9,9.0,1.1
Indiana Pacers @ Phoenix Suns,Ben Sheppard,Rebounds,7,950.0,,950.0,1000.0,,,800.0,,DraftKings,1000.0,11.0,10.0,1.1
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Threes,2,-150.0,-186.0,-200.0,-185.0,,-184.0,,-220.0,BetMGM,-150.0,1.6666666666666665,1.5152397329115423,1.099935957635005
Indiana Pacers @ Phoenix Suns,Pascal Siakam,Steals,3,,,,487.0,550.0,580.0,,,FanDuel,580.0,6.8,6.1850000000000005,1.099434114793856
Toronto Raptors @ Cleveland Cavaliers,Evan Mobley,Assists,6,,250.0,,336.0,,340.0,290.0,325.0,FanDuel,340.0,4.4,4.0024999999999995,1.0993129294191133
Indiana Pacers @ Phoenix Suns,Aaron Nesmith,Threes,6,650.0,,675.0,750.0,800.0,800.0,,,ESPNBET,800.0,9.0,8.1875,1.099236641221374
Indiana Pacers @ Phoenix Suns,Isaiah Jackson,Rebounds,7,115.0,,155.0,141.0,,,140.0,,Bovada,155.0,2.55,2.3200000000000003,1.0991379310344827
Atlanta Hawks @ Utah Jazz,Isaiah Collier,Rebounds,3,,,,-310.0,,,-275.0,-210.0,HardRockBet,-210.0,1.4761904761904763,1.3431085043988271,1.099085048866708
Indiana Pacers @ Phoenix Suns,Grayson Allen,Points,20,140.0,155.0,195.0,176.0,190.0,200.0,160.0,195.0,FanDuel,200.0,3.0,2.73,1.098901098901099
Indiana Pacers @ Phoenix Suns,Ben Sheppard,Points,10,280.0,240.0,275.0,274.0,285.0,300.0,230.0,,FanDuel,300.0,4.0,3.64,1.0989010989010988
Indiana Pacers @ Phoenix Suns,Aaron Nesmith,Rebounds,6,,116.0,,183.0,175.0,172.0,150.0,175.0,DraftKings,183.0,2.83,2.5759999999999996,1.09860248447205
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Threes,4,210.0,265.0,260.0,294.0,275.0,285.0,,,DraftKings,294.0,3.94,3.59,1.0974930362116992
Atlanta Hawks @ Utah Jazz,Lauri Markkanen,Threes,6,,,650.0,700.0,,750.0,,,FanDuel,750.0,8.5,7.75,1.096774193548387
Atlanta Hawks @ Utah Jazz,Ace Bailey,Points,15,155.0,150.0,155.0,181.0,,186.0,160.0,190.0,HardRockBet,190.0,2.9,2.645,1.0964083175803403
Toronto Raptors @ Cleveland Cavaliers,Darius Garland,Rebounds,3,-185.0,,-150.0,-140.0,,,-130.0,-120.0,HardRockBet,-120.0,1.8333333333333335,1.6726809226809227,1.0960448633532103
Atlanta Hawks @ Utah Jazz,Jalen Johnson,Assists,7,-135.0,,,117.0,,,115.0,105.0,DraftKings,117.0,2.17,1.980246913580247,1.0958229426433914
Toronto Raptors @ Cleveland Cavaliers,Sam Merrill,Threes,5,,215.0,305.0,322.0,,310.0,,325.0,HardRockBet,325.0,4.25,3.88,1.0953608247422681
Toronto Raptors @ Cleveland Cavaliers,Brandon Ingram,Threes,5,,,1900.0,2100.0,,2200.0,,2000.0,FanDuel,2200.0,23.0,21.0,1.0952380952380953
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Assists,7,,,2200.0,,,,,2000.0,Bovada,2200.0,23.0,21.0,1.0952380952380953
Indiana Pacers @ Phoenix Suns,Royce O'Neale,Rebounds,7,135.0,,185.0,186.0,,,160.0,165.0,DraftKings,186.0,2.8600000000000003,2.6125000000000003,1.0947368421052632
Atlanta Hawks @ Utah Jazz,Ace Bailey,Rebounds,7,220.0,,205.0,218.0,,,200.0,240.0,HardRockBet,240.0,3.4,3.1075,1.0941271118262268
Indiana Pacers @ Phoenix Suns,Pascal Siakam,Rebounds,10,270.0,275.0,300.0,323.0,285.0,300.0,290.0,,DraftKings,323.0,4.23,3.866666666666666,1.0939655172413796
Atlanta Hawks @ Utah Jazz,Keyonte George,Assists,8,,170.0,,187.0,,200.0,185.0,155.0,FanDuel,200.0,3.0,2.7424999999999997,1.0938924339106655
Toronto Raptors @ Cleveland Cavaliers,Sam Merrill,Rebounds,4,,,,215.0,,,225.0,250.0,HardRockBet,250.0,3.5,3.2,1.09375
Toronto Raptors @ Cleveland Cavaliers,Donovan Mitchell,Points,35,340.0,270.0,295.0,339.0,,310.0,300.0,300.0,BetMGM,340.0,4.4,4.023333333333333,1.0936205468102735
Toronto Raptors @ Cleveland Cavaliers,Donovan Mitchell,Threes,6,350.0,300.0,295.0,301.0,,350.0,,,BetMGM,350.0,4.5,4.115,1.0935601458080193
Indiana Pacers @ Phoenix Suns,Pascal Siakam,Assists,8,,,,436.0,425.0,470.0,375.0,450.0,FanDuel,470.0,5.7,5.215,1.093000958772771
Toronto Raptors @ Cleveland Cavaliers,Sam Merrill,Points,20,,,750.0,890.0,,870.0,750.0,900.0,HardRockBet,900.0,10.0,9.149999999999999,1.092896174863388
Toronto Raptors @ Cleveland Cavaliers,Jaylon Tyson,Threes,4,,,950.0,1020.0,,900.0,,,DraftKings,1020.0,11.2,10.25,1.0926829268292682
Atlanta Hawks @ Utah Jazz,Onyeka Okongwu,Points,30,,,,1920.0,,,,1750.0,DraftKings,1920.0,20.2,18.5,1.0918918918918918
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Threes,4,,,360.0,356.0,,400.0,,,FanDuel,400.0,5.0,4.58,1.0917030567685588
Indiana Pacers @ Phoenix Suns,Aaron Nesmith,Points,20,120.0,128.0,135.0,139.0,140.0,144.0,130.0,155.0,HardRockBet,155.0,2.55,2.337142857142857,1.0910757946210268
Indiana Pacers @ Phoenix Suns,Ryan Dunn,Rebounds,10,,,1700.0,,1400.0,1700.0,,,Bovada,1700.0,18.0,16.5,1.0909090909090908
Toronto Raptors @ Cleveland Cavaliers,R.J. Barrett,Rebounds,10,,,1000.0,,,1100.0,,,FanDuel,1100.0,12.0,11.0,1.0909090909090908
Toronto Raptors @ Cleveland Cavaliers,Brandon Ingram,Assists,8,,,,1040.0,,1060.0,850.0,1000.0,FanDuel,1060.0,11.6,10.633333333333333,1.0909090909090908
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Rebounds,6,,112.0,,119.0,,124.0,125.0,140.0,HardRockBet,140.0,2.4,2.2,1.0909090909090908
Toronto Raptors @ Cleveland Cavaliers,Jarrett Allen,Double-Double,Yes,195.0,,155.0,183.0,,170.0,155.0,190.0,BetMGM,195.0,2.95,2.706,1.0901699926090171
Indiana Pacers @ Phoenix Suns,Royce O'Neale,Points,15,240.0,175.0,215.0,204.0,225.0,240.0,185.0,240.0,BetMGM,240.0,3.4,3.12,1.0897435897435896
Atlanta Hawks @ Utah Jazz,Keyonte George,Assists,7,-135.0,,105.0,105.0,,,110.0,-115.0,Fanatics,110.0,2.1,1.9275764895330112,1.0894509304316953
Toronto Raptors @ Cleveland Cavaliers,Scottie Barnes,Blocks,2,,150.0,,121.0,,138.0,,,BetRivers,150.0,2.5,2.295,1.0893246187363834
Indiana Pacers @ Phoenix Suns,Ben Sheppard,Rebounds,5,220.0,,270.0,260.0,,,240.0,,Bovada,270.0,3.7,3.4000000000000004,1.088235294117647
Indiana Pacers @ Phoenix Suns,Andrew Nembhard,Assists,7,-155.0,,-180.0,-169.0,,,-165.0,-135.0,HardRockBet,-135.0,1.7407407407407407,1.5996233570675256,1.088219131741059
Atlanta Hawks @ Utah Jazz,Dyson Daniels,Blocks,1,,123.0,,105.0,,,,,BetRivers,123.0,2.23,2.05,1.0878048780487806
Toronto Raptors @ Cleveland Cavaliers,Donovan Mitchell,Points,50,,,2500.0,,,3000.0,,3000.0,FanDuel,3000.0,31.0,28.5,1.087719298245614
Toronto Raptors @ Cleveland Cavaliers,Scottie Barnes,Rebounds,10,250.0,255.0,280.0,247.0,,255.0,240.0,,Bovada,280.0,3.8,3.4939999999999998,1.0875787063537492
Indiana Pacers @ Phoenix Suns,Ryan Dunn,Rebounds,6,,180.0,,202.0,210.0,220.0,185.0,,FanDuel,220.0,3.2,2.9425,1.0875106202209006
Indiana Pacers @ Phoenix Suns,Aaron Nesmith,Threes,4,135.0,135.0,145.0,145.0,145.0,162.0,,,FanDuel,162.0,2.62,2.41,1.0871369294605808
Atlanta Hawks @ Utah Jazz,Keyonte George,Threes,4,390.0,,360.0,385.0,,420.0,,,FanDuel,420.0,5.2,4.783333333333333,1.0871080139372824
Indiana Pacers @ Phoenix Suns,Grayson Allen,Assists,5,150.0,,130.0,130.0,,,130.0,130.0,BetMGM,150.0,2.5,2.3,1.0869565217391306
Toronto Raptors @ Cleveland Cavaliers,Evan Mobley,Points,25,250.0,220.0,220.0,266.0,,255.0,260.0,275.0,HardRockBet,275.0,3.75,3.4516666666666667,1.0864316755190728
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Steals,1,,-245.0,,-345.0,,-330.0,,,BetRivers,-245.0,1.4081632653061225,1.2964426877470356,1.086174713787954
Toronto Raptors @ Cleveland Cavaliers,Jarrett Allen,Points,20,270.0,245.0,250.0,290.0,,285.0,270.0,300.0,HardRockBet,300.0,4.0,3.6833333333333336,1.085972850678733
Indiana Pacers @ Phoenix Suns,Andrew Nembhard,Double-Double,Yes,,,320.0,298.0,,320.0,320.0,350.0,HardRockBet,350.0,4.5,4.145,1.0856453558504222
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Threes,2,-200.0,-162.0,-185.0,-160.0,,-162.0,,-140.0,HardRockBet,-140.0,1.7142857142857144,1.5800216883550218,1.0849760651516602
Indiana Pacers @ Phoenix Suns,Oso Ighodaro,Assists,3,,,,338.0,,,,375.0,HardRockBet,375.0,4.75,4.38,1.0844748858447488
Indiana Pacers @ Phoenix Suns,Grayson Allen,Points,10,-1200.0,-455.0,-1100.0,-650.0,-1000.0,-670.0,-700.0,-650.0,BetRivers,-455.0,1.2197802197802199,1.124863658019308,1.0843805034363396
Atlanta Hawks @ Utah Jazz,Onyeka Okongwu,Rebounds,7,,,,-560.0,,,-630.0,-375.0,HardRockBet,-375.0,1.2666666666666666,1.1686507936507935,1.0838709677419356
Toronto Raptors @ Cleveland Cavaliers,Brandon Ingram,Rebounds,5,-295.0,,-290.0,-208.0,,,-250.0,-260.0,DraftKings,-208.0,1.4807692307692308,1.3671065054174347,1.083141090252577
