event,player,group,threshold,BetRivers,Bovada,Caesars,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,betPARX,best_book,best_odds,best_decimal,avg_other,value_ratio
Pittsburgh Steelers @ Cincinnati Bengals,Tee Higgins,Receiving,50,106.0,105.0,-108.0,102.0,100.0,108.0,,,106.0,FanDuel,108.0,2.08,2.019320987654321,1.0300492159080488
Pittsburgh Steelers @ Cincinnati Bengals,DK Metcalf,AnytimeTD,Anytime,145.0,140.0,135.0,125.0,,145.0,140.0,135.0,145.0,BetRivers,145.0,2.45,2.3785714285714286,1.03003003003003
Pittsburgh Steelers @ Cincinnati Bengals,Ja'Marr Chase,AnytimeTD,Anytime,140.0,140.0,140.0,140.0,,145.0,140.0,130.0,140.0,FanDuel,145.0,2.45,2.3857142857142857,1.0269461077844313
Pittsburgh Steelers @ Cincinnati Bengals,Andrei Iosivas,Receiving,50,,575.0,,,550.0,580.0,,,,FanDuel,580.0,6.8,6.625,1.0264150943396226
Pittsburgh Steelers @ Cincinnati Bengals,Chase Brown,Rushing,25,,-425.0,,-550.0,-475.0,-420.0,,,,FanDuel,-420.0,1.2380952380952381,1.2092128717515713,1.023885262072864
New York Giants @ Denver Broncos,J.K. Dobbins,AnytimeTD,Anytime,,,,-105.0,,,,-110.0,,DraftKings,-105.0,1.9523809523809523,1.9090909090909092,1.0226757369614512
Pittsburgh Steelers @ Cincinnati Bengals,Tee Higgins,AnytimeTD,Anytime,225.0,220.0,220.0,200.0,,220.0,225.0,220.0,225.0,BetRivers,225.0,3.25,3.185714285714286,1.0201793721973094
Indianapolis Colts @ Los Angeles Chargers,Keenan Allen,AnytimeTD,Anytime,,,,170.0,,,175.0,,,Fanatics,175.0,2.75,2.7,1.0185185185185184
Pittsburgh Steelers @ Cincinnati Bengals,Kenneth Gainwell,Rushing,25,,-105.0,,,-110.0,-104.0,,,,FanDuel,-104.0,1.9615384615384617,1.9307359307359309,1.0159537771645395
Pittsburgh Steelers @ Cincinnati Bengals,Andrei Iosivas,Receiving,25,,165.0,,,,168.0,,,,FanDuel,168.0,2.6799999999999997,2.65,1.0113207547169811
Indianapolis Colts @ Los Angeles Chargers,Jonathan Taylor,AnytimeTD,Anytime,,,,-175.0,,,-170.0,,,Fanatics,-170.0,1.5882352941176472,1.5714285714285714,1.0106951871657754
Pittsburgh Steelers @ Cincinnati Bengals,Jaylen Warren,Rushing,25,,-1000.0,,-940.0,-900.0,-900.0,,-900.0,,ESPNBET,-900.0,1.1111111111111112,1.1071513002364066,1.00357657609566
Pittsburgh Steelers @ Cincinnati Bengals,Tee Higgins,Receiving,25,,-450.0,,-443.0,,-440.0,,,,FanDuel,-440.0,1.2272727272727273,1.2239779282668675,1.0026918777943368
Indianapolis Colts @ Los Angeles Chargers,Tyler Warren,AnytimeTD,Anytime,,,,170.0,,,170.0,,,DraftKings,170.0,2.7,2.7,1.0
Pittsburgh Steelers @ Cincinnati Bengals,Chase Brown,Receiving,50,,,,,850.0,850.0,,,,ESPNBET,850.0,9.5,9.5,1.0
Pittsburgh Steelers @ Cincinnati Bengals,Andrei Iosivas,Receiving,80,,1500.0,,,,1500.0,,,,Bovada,1500.0,16.0,16.0,1.0
Pittsburgh Steelers @ Cincinnati Bengals,Cincinnati Bengals D/ST,AnytimeTD,Anytime,,,,500.0,,,500.0,,,DraftKings,500.0,6.0,6.0,1.0
Carolina Panthers @ New York Jets,Allen Lazard,AnytimeTD,Anytime,,,,,,,,600.0,,HardRockBet,600.0,7.0,,
Carolina Panthers @ New York Jets,Arian Smith,AnytimeTD,Anytime,,,,,,,,450.0,,HardRockBet,450.0,5.5,,
Carolina Panthers @ New York Jets,Breece Hall,AnytimeTD,Anytime,,,,,,,,-120.0,,HardRockBet,-120.0,1.8333333333333335,,
Carolina Panthers @ New York Jets,Bryce Young,AnytimeTD,Anytime,,,,,,,,400.0,,HardRockBet,400.0,5.0,,
Carolina Panthers @ New York Jets,Hunter Renfrow,AnytimeTD,Anytime,,,,,,,,650.0,,HardRockBet,650.0,7.5,,
Carolina Panthers @ New York Jets,Isaiah Davis,AnytimeTD,Anytime,,,,,,,,500.0,,HardRockBet,500.0,6.0,,
Carolina Panthers @ New York Jets,Ja'Tavion Sanders,AnytimeTD,Anytime,,,,,,,,475.0,,HardRockBet,475.0,5.75,,
Carolina Panthers @ New York Jets,Jalen Coker,AnytimeTD,Anytime,,,,,,,,425.0,,HardRockBet,425.0,5.25,,
Carolina Panthers @ New York Jets,Jeremy Ruckert,AnytimeTD,Anytime,,,,,,,,1000.0,,HardRockBet,1000.0,11.0,,
Carolina Panthers @ New York Jets,Josh Reynolds,AnytimeTD,Anytime,,,,,,,,375.0,,HardRockBet,375.0,4.75,,
Carolina Panthers @ New York Jets,Justin Fields,AnytimeTD,Anytime,,,,,,,,115.0,,HardRockBet,115.0,2.15,,
Carolina Panthers @ New York Jets,Mason Taylor,AnytimeTD,Anytime,,,,,,,,260.0,,HardRockBet,260.0,3.6,,
Carolina Panthers @ New York Jets,Mitchell Evans,AnytimeTD,Anytime,,,,,,,,1750.0,,HardRockBet,1750.0,18.5,,
Carolina Panthers @ New York Jets,Rico Dowdle,AnytimeTD,Anytime,,,,,,,,-105.0,,HardRockBet,-105.0,1.9523809523809523,,
Carolina Panthers @ New York Jets,Stone Smartt,AnytimeTD,Anytime,,,,,,,,5000.0,,HardRockBet,5000.0,51.0,,
Carolina Panthers @ New York Jets,Tetairoa McMillan,AnytimeTD,Anytime,,,,,,,,165.0,,HardRockBet,165.0,2.65,,
Carolina Panthers @ New York Jets,Tommy Tremble,AnytimeTD,Anytime,,,,,,,,425.0,,HardRockBet,425.0,5.25,,
Carolina Panthers @ New York Jets,Trevor Etienne,AnytimeTD,Anytime,,,,,,,,500.0,,HardRockBet,500.0,6.0,,
Carolina Panthers @ New York Jets,Tyler Johnson,AnytimeTD,Anytime,,,,,,,,700.0,,HardRockBet,700.0,8.0,,
Carolina Panthers @ New York Jets,Xavier Legette,AnytimeTD,Anytime,,,,,,,,400.0,,HardRockBet,400.0,5.0,,
Houston Texans @ Seattle Seahawks,Cooper Kupp,AnytimeTD,Anytime,,,,235.0,,,,,,DraftKings,235.0,3.35,,
Houston Texans @ Seattle Seahawks,Jaxon Smith-Njigba,AnytimeTD,Anytime,,,,115.0,,,,,,DraftKings,115.0,2.15,,
Houston Texans @ Seattle Seahawks,Nico Collins,AnytimeTD,Anytime,,,,150.0,,,,,,DraftKings,150.0,2.5,,
Houston Texans @ Seattle Seahawks,Woody Marks,AnytimeTD,Anytime,,,,185.0,,,,,,DraftKings,185.0,2.85,,
Las Vegas Raiders @ Kansas City Chiefs,Ashton Jeanty,AnytimeTD,Anytime,,,,120.0,,,,,,DraftKings,120.0,2.2,,
Las Vegas Raiders @ Kansas City Chiefs,Jakobi Meyers,AnytimeTD,Anytime,,,,260.0,,,,,,DraftKings,260.0,3.6,,
